tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:0,1,464,0,0,0,18,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:1,1,5,0,0,0,4,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:2,1,408,0,0,0,6,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:3,1,337,0,0,0,10,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:5,1,391,0,0,0,8,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:6,1,378,0,0,0,2,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:1:7,1,490,0,0,0,12,88
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:0,2,281,26,0,14,26,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:1,2,287,0,0,0,10,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:2,2,24,0,0,0,7,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:4,2,265,0,0,0,9,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:5,2,351,0,0,0,4,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:6,2,292,0,0,0,8,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:2:7,2,408,0,0,0,12,93
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:0,4,433,0,0,0,4,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:1,4,367,0,0,0,6,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:2,4,445,0,0,0,5,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:3,4,428,0,0,0,9,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:4,4,415,0,0,0,5,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:5,4,399,0,0,0,5,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:6,4,413,0,0,0,6,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:4:7,4,380,0,0,0,8,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:0,5,9,0,0,0,18,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:1,5,446,0,0,0,16,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:3,5,299,0,0,0,14,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:4,5,28,0,0,0,31,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:5,5,223,0,0,0,18,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:5:6,5,249,0,0,0,11,94
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:6:5,6,2,0,0,0,12,27
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:6:6,6,445,0,0,0,8,27
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:7:5,7,20,0,0,0,33,63
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:8:5,8,469,0,0,0,5,16
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:9:0,9,8,0,0,0,11,54
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:9:1,9,360,0,0,0,11,54
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:9:4,9,2,0,0,0,11,54
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:11:3,11,22,0,0,0,23,43
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:12:0,12,300,0,0,0,39,57
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:12:5,12,422,0,0,0,31,57
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:1,14,344,0,0,0,13,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:2,14,508,0,0,0,7,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:3,14,490,0,0,0,19,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:4,14,357,0,0,0,11,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:5,14,192,0,0,0,9,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:6,14,331,0,0,0,18,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:14:7,14,399,0,0,0,12,81
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:0,16,308,0,0,0,4,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:1,16,304,0,0,0,7,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:2,16,293,0,0,0,6,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:3,16,296,0,0,0,5,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:4,16,379,0,0,0,10,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:5,16,309,0,0,0,17,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:6,16,308,0,0,0,18,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:16:7,16,361,0,0,0,19,78
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:17:0,17,411,0,0,0,25,70
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:17:1,17,413,0,0,0,16,70
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:17:4,17,10,0,0,0,14,70
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:17:6,17,491,0,0,0,15,70
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:19:6,19,12,0,0,0,14,51
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:19:7,19,433,0,0,0,17,51
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:0,20,373,0,0,0,13,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:1,20,437,0,0,0,16,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:2,20,381,0,0,0,14,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:3,20,402,0,0,0,21,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:4,20,544,0,0,0,7,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:5,20,16,0,0,0,17,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:6,20,421,0,0,0,12,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:20:7,20,325,0,0,0,25,90
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:0,21,385,0,0,0,10,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:1,21,21,0,0,0,19,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:2,21,0,0,0,0,13,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:4,21,480,0,0,0,23,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:5,21,2,0,0,0,20,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:21:7,21,426,0,0,0,17,71
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:22:0,22,56,56,1,19,31,60
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:0,23,512,56,0,5,14,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:1,23,8,0,0,0,11,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:2,23,544,0,0,0,8,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:3,23,540,0,0,0,7,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:4,23,348,0,0,0,12,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:23:7,23,395,48,0,0,8,74
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:24:1,24,0,0,0,0,13,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:25:0,25,18,0,0,0,13,61
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:25:5,25,60,0,0,0,22,61
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:26:0,26,172,0,0,0,23,60
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:26:1,26,1,0,0,0,32,60
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:26:4,26,180,0,0,0,32,60
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:26:6,26,16,0,0,0,27,60
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:28:1,28,280,0,0,0,23,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:28:4,28,45,0,0,0,31,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:28:5,28,1,0,0,0,22,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:29:1,29,40,0,0,0,44,120
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:29:6,29,252,0,0,0,44,120
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:0,31,445,0,0,0,6,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:1,31,318,0,0,0,6,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:2,31,296,0,0,0,21,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:3,31,374,0,0,0,13,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:4,31,451,0,0,0,7,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:5,31,452,0,0,0,4,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:6,31,363,0,0,0,6,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:31:7,31,487,0,0,0,5,86
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:32:0,32,10,0,0,0,17,44
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:32:3,32,32,0,0,0,13,44
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:32:6,32,20,0,0,0,2,44
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:33:3,33,1,0,0,0,24,100
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:33:6,33,371,0,0,0,20,100
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:34:1,34,75,0,0,0,17,103
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:34:4,34,0,0,0,0,30,103
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:34:6,34,50,23,2,6,32,103
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:34:7,34,509,0,0,0,22,103
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:0,35,80,0,0,0,7,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:1,35,6,0,0,0,15,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:2,35,195,0,0,0,7,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:3,35,404,0,0,0,9,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:4,35,282,0,0,0,18,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:5,35,400,0,0,0,7,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:6,35,350,0,0,0,17,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:35:7,35,265,0,0,0,18,59
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:38:6,38,0,0,0,0,35,62
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:39:2,39,68,65,0,1,23,46
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:0,40,288,0,0,0,6,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:1,40,293,0,0,0,2,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:3,40,353,0,0,0,8,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:4,40,57,0,0,0,3,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:5,40,375,0,0,0,8,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:40:6,40,301,0,0,0,5,32
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:41:5,41,464,0,0,0,20,57
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:0,42,410,0,0,0,8,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:1,42,524,0,0,0,8,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:2,42,2,0,0,0,8,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:3,42,44,0,0,0,9,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:4,42,422,0,0,0,11,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:5,42,303,0,0,0,9,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:42:7,42,434,0,0,0,12,56
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:44:6,44,0,0,0,0,28,43
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:45:6,45,407,0,0,0,11,77
qwen3-4b-keep4-s42,qwen3-4b-keep4-s42:47:7,47,304,0,0,0,65,106
