tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:2:3,2,348,0,0,0,1,93
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:5:5,5,332,0,0,0,20,94
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:5:6,5,29,0,0,0,21,94
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:8:7,8,346,0,0,0,0,16
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:16:1,16,497,0,0,0,5,78
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:20:4,20,0,0,0,0,26,90
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:21:1,21,0,0,0,0,18,71
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:21:7,21,151,0,0,0,11,71
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:23:3,23,14,0,0,0,9,74
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:23:5,23,24,0,0,0,6,74
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:27:7,27,0,0,0,0,10,49
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:29:5,29,0,0,0,0,49,120
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:31:3,31,46,0,0,0,5,86
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:31:6,31,0,0,0,0,4,86
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:33:6,33,3,0,0,0,24,100
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:35:4,35,0,0,0,0,22,59
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:35:5,35,0,0,0,0,5,59
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:45:7,45,20,0,0,0,9,77
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:48:5,48,7,0,0,0,5,80
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:48:6,48,1,0,0,0,7,80
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:48:7,48,53,0,0,0,12,80
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:50:6,50,500,0,0,0,27,70
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:52:3,52,6,0,0,0,12,26
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:52:5,52,13,0,0,0,4,26
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:54:4,54,1,0,0,0,4,16
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:55:6,55,0,0,0,0,8,44
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:55:7,55,2,0,0,0,5,44
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:60:3,60,0,0,0,0,17,95
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:60:4,60,6,0,0,0,8,95
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:60:7,60,0,0,0,0,13,95
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:64:1,64,8,0,0,0,5,56
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:64:2,64,210,0,0,0,5,56
qwen3-4b-generic-noise-s42,qwen3-4b-generic-noise-s42:67:1,67,485,0,0,0,3,78
