tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-notrain,qwen3-4b-notrain:26:2,26,0,0,0,0,11,60
qwen3-4b-notrain,qwen3-4b-notrain:31:0,31,3,0,0,0,2,86
qwen3-4b-notrain,qwen3-4b-notrain:31:1,31,1,0,0,0,0,86
qwen3-4b-notrain,qwen3-4b-notrain:31:4,31,0,0,0,0,8,86
qwen3-4b-notrain,qwen3-4b-notrain:40:0,40,0,0,0,0,3,32
qwen3-4b-notrain,qwen3-4b-notrain:40:6,40,4,0,0,0,2,32
qwen3-4b-notrain,qwen3-4b-notrain:64:5,64,0,0,0,0,1,56
qwen3-4b-notrain,qwen3-4b-notrain:75:1,75,0,0,0,0,10,59
qwen3-4b-notrain,qwen3-4b-notrain:113:3,113,32,19,0,1,1,9
qwen3-4b-notrain,qwen3-4b-notrain:113:5,113,45,33,0,0,0,9
qwen3-4b-notrain,qwen3-4b-notrain:116:3,116,0,0,0,0,8,32
qwen3-4b-notrain,qwen3-4b-notrain:121:0,121,0,0,0,0,23,65
qwen3-4b-notrain,qwen3-4b-notrain:163:0,163,0,0,0,0,8,97
qwen3-4b-notrain,qwen3-4b-notrain:167:1,167,20,17,0,0,2,43
qwen3-4b-notrain,qwen3-4b-notrain:167:6,167,8,0,0,0,3,43
qwen3-4b-notrain,qwen3-4b-notrain:182:0,182,0,0,0,0,5,37
qwen3-4b-notrain,qwen3-4b-notrain:182:6,182,1,0,0,0,4,37
qwen3-4b-notrain,qwen3-4b-notrain:182:7,182,1,0,0,0,5,37
qwen3-4b-notrain,qwen3-4b-notrain:185:2,185,1,0,0,0,0,8
qwen3-4b-notrain,qwen3-4b-notrain:185:3,185,16,2,0,0,1,8
qwen3-4b-notrain,qwen3-4b-notrain:185:6,185,1,0,0,0,0,8
qwen3-4b-notrain,qwen3-4b-notrain:185:7,185,0,0,0,0,0,8
qwen3-4b-notrain,qwen3-4b-notrain:202:2,202,0,0,0,0,16,86
qwen3-4b-notrain,qwen3-4b-notrain:202:3,202,1,0,0,0,19,86
qwen3-4b-notrain,qwen3-4b-notrain:202:4,202,1,0,0,0,22,86
qwen3-4b-notrain,qwen3-4b-notrain:208:4,208,10,0,0,0,3,64
qwen3-4b-notrain,qwen3-4b-notrain:212:7,212,3,0,0,0,1,36
qwen3-4b-notrain,qwen3-4b-notrain:216:6,216,1,0,0,0,19,70
qwen3-4b-notrain,qwen3-4b-notrain:236:0,236,4,0,0,0,1,17
qwen3-4b-notrain,qwen3-4b-notrain:236:2,236,6,0,0,0,0,17
qwen3-4b-notrain,qwen3-4b-notrain:236:3,236,6,0,0,0,0,17
qwen3-4b-notrain,qwen3-4b-notrain:236:4,236,12,0,0,0,0,17
qwen3-4b-notrain,qwen3-4b-notrain:236:5,236,5,0,0,0,0,17
qwen3-4b-notrain,qwen3-4b-notrain:268:0,268,0,0,0,0,6,22
qwen3-4b-notrain,qwen3-4b-notrain:268:4,268,0,0,0,0,11,22
qwen3-4b-notrain,qwen3-4b-notrain:277:7,277,1,0,0,0,3,65
qwen3-4b-notrain,qwen3-4b-notrain:286:5,286,0,0,0,0,13,48
qwen3-4b-notrain,qwen3-4b-notrain:288:3,288,31,12,0,2,6,30
qwen3-4b-notrain,qwen3-4b-notrain:311:7,311,1,0,0,0,8,57
qwen3-4b-notrain,qwen3-4b-notrain:317:5,317,3,0,0,0,16,56
qwen3-4b-notrain,qwen3-4b-notrain:321:1,321,0,0,0,0,3,43
qwen3-4b-notrain,qwen3-4b-notrain:324:1,324,8,0,0,0,1,17
qwen3-4b-notrain,qwen3-4b-notrain:324:2,324,10,10,0,0,1,17
qwen3-4b-notrain,qwen3-4b-notrain:324:3,324,6,6,0,2,5,17
qwen3-4b-notrain,qwen3-4b-notrain:324:4,324,11,11,0,3,4,17
qwen3-4b-notrain,qwen3-4b-notrain:325:4,325,0,0,0,0,4,30
qwen3-4b-notrain,qwen3-4b-notrain:329:1,329,18,0,0,0,3,58
qwen3-4b-notrain,qwen3-4b-notrain:329:3,329,455,0,0,0,3,58
qwen3-4b-notrain,qwen3-4b-notrain:329:4,329,458,0,0,0,3,58
qwen3-4b-notrain,qwen3-4b-notrain:329:5,329,9,0,0,0,3,58
qwen3-4b-notrain,qwen3-4b-notrain:329:7,329,5,0,0,0,3,58
qwen3-4b-notrain,qwen3-4b-notrain:340:5,340,0,0,0,0,9,36
qwen3-4b-notrain,qwen3-4b-notrain:342:0,342,0,0,0,0,0,23
qwen3-4b-notrain,qwen3-4b-notrain:358:0,358,0,0,0,0,5,31
qwen3-4b-notrain,qwen3-4b-notrain:358:1,358,5,0,0,0,1,31
qwen3-4b-notrain,qwen3-4b-notrain:358:6,358,3,0,0,0,5,31
qwen3-4b-notrain,qwen3-4b-notrain:369:3,369,2,0,0,0,2,36
