tag,sample_id,stable_prompt_id,blocks_after_capture,novel_triples_after_capture,new_gold_triples_after_capture,new_gold_pairs_after_capture,gold_pairs_covered_at_capture,gold_pairs_total
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:2:0,2,7,0,0,0,11,93
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:2:3,2,5,0,0,0,11,93
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:2:6,2,21,16,0,8,13,93
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:4:3,4,7,0,0,0,9,46
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:5:4,5,299,0,0,0,36,94
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:5:5,5,7,0,0,0,14,94
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:14:5,14,2,0,0,0,12,81
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:14:7,14,4,0,0,0,8,81
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:16:7,16,13,0,0,0,16,78
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:20:3,20,10,0,0,0,15,90
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:21:0,21,14,0,0,0,12,71
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:21:3,21,65,0,0,0,12,71
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:21:7,21,282,0,0,0,12,71
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:22:4,22,52,0,0,0,3,60
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:23:4,23,10,0,0,0,11,74
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:23:5,23,435,0,0,0,2,74
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:29:5,29,17,0,0,0,30,120
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:32:6,32,6,0,0,0,1,44
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:40:6,40,3,0,0,0,9,32
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:40:7,40,0,0,0,0,9,32
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:45:2,45,0,0,0,0,6,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:45:3,45,0,0,0,0,4,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:48:0,48,449,0,0,0,9,80
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:48:1,48,10,0,0,0,8,80
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:48:5,48,210,0,0,0,16,80
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:52:7,52,13,0,0,0,9,26
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:53:7,53,18,0,0,0,13,86
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:54:1,54,0,0,0,0,4,16
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:54:4,54,1,0,0,0,4,16
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:58:5,58,19,0,0,0,12,49
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:58:7,58,42,0,0,0,9,49
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:60:7,60,14,0,0,0,15,95
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:64:4,64,45,44,0,0,7,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:67:2,67,484,0,0,0,1,78
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:67:4,67,487,0,0,0,2,78
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:67:5,67,449,0,0,0,2,78
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:67:6,67,374,0,0,0,1,78
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:72:4,72,1,0,0,0,37,74
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:74:7,74,9,0,0,0,5,45
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:76:3,76,36,0,0,0,0,39
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:76:4,76,349,0,0,0,2,39
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:77:1,77,18,0,0,0,3,55
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:77:2,77,350,0,0,0,6,55
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:93:7,93,13,0,0,0,14,47
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:96:1,96,0,0,0,0,24,40
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:96:7,96,0,0,0,0,22,40
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:113:3,113,41,0,0,0,5,9
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:113:4,113,0,0,0,0,2,9
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:117:2,117,13,0,0,0,5,41
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:117:5,117,0,0,0,0,5,41
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:117:6,117,364,0,0,0,5,41
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:119:1,119,14,0,0,0,10,86
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:119:3,119,22,0,0,0,8,86
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:119:6,119,1,0,0,0,8,86
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:123:1,123,227,0,0,0,22,112
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:123:3,123,258,0,0,0,17,112
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:123:5,123,12,0,0,0,13,112
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:123:6,123,249,0,0,0,20,112
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:127:5,127,5,0,0,0,34,93
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:132:2,132,12,0,0,0,7,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:132:3,132,5,0,0,0,9,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:132:4,132,0,0,0,0,12,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:0,134,402,0,0,0,18,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:1,134,281,0,0,0,16,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:2,134,20,0,0,0,14,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:3,134,319,0,0,0,19,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:4,134,28,17,0,2,25,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:134:5,134,387,0,0,0,19,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:138:4,138,11,0,0,0,14,83
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:139:4,139,3,0,0,0,8,20
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:139:6,139,2,0,0,0,7,20
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:140:1,140,1,0,0,0,9,22
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:147:0,147,15,0,0,0,23,47
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:147:2,147,1,0,0,0,19,47
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:147:5,147,27,0,0,0,35,47
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:147:7,147,0,0,0,0,31,47
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:153:3,153,6,0,0,0,5,98
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:154:1,154,0,0,0,0,7,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:154:4,154,27,0,0,0,5,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:154:5,154,522,0,0,0,2,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:154:6,154,0,0,0,0,5,77
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:160:1,160,15,0,0,0,7,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:160:4,160,378,0,0,0,15,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:160:5,160,0,0,0,0,13,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:160:7,160,12,0,0,0,10,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:161:2,161,4,0,0,0,12,51
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:162:1,162,7,0,0,0,2,35
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:163:3,163,8,0,0,0,12,97
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:163:7,163,0,0,0,0,11,97
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:167:0,167,9,0,0,0,8,43
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:167:3,167,30,0,0,0,8,43
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:167:6,167,4,0,0,0,8,43
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:179:1,179,7,0,0,0,4,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:179:3,179,220,0,0,0,5,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:179:4,179,7,0,0,0,6,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:179:7,179,15,0,0,0,4,53
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:181:6,181,4,0,0,0,8,72
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:187:2,187,0,0,0,0,5,57
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:187:7,187,29,0,0,0,11,57
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:188:6,188,0,0,0,0,22,44
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:193:7,193,0,0,0,0,36,87
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:196:4,196,0,0,0,0,11,41
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:198:2,198,4,0,0,0,14,58
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:204:4,204,2,0,0,0,4,108
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:215:3,215,2,0,0,0,51,68
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:216:1,216,43,0,0,0,18,70
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:216:2,216,7,0,0,0,17,70
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:216:5,216,424,0,0,0,9,70
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:229:7,229,0,0,0,0,33,76
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:231:1,231,6,0,0,0,27,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:231:2,231,15,0,0,0,29,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:231:5,231,7,0,0,0,24,56
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:238:0,238,225,0,0,0,13,42
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:238:2,238,54,17,0,7,11,42
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:239:2,239,25,0,0,0,9,46
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:253:1,253,4,0,0,0,10,44
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:264:2,264,13,0,0,0,10,49
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:268:0,268,486,0,0,0,7,22
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:268:7,268,1,0,0,0,9,22
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:272:1,272,4,0,0,0,11,55
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:272:2,272,16,0,0,0,7,55
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:273:3,273,22,0,0,0,5,39
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:283:7,283,7,0,0,0,27,64
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:291:5,291,17,0,0,0,12,44
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:1,298,6,0,0,0,49,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:2,298,326,0,0,0,34,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:3,298,291,0,0,0,52,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:4,298,5,0,0,0,37,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:6,298,230,0,0,0,41,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:298:7,298,197,0,0,0,30,79
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:302:4,302,0,0,0,0,18,76
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:303:4,303,1,0,0,0,6,36
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:319:6,319,5,0,0,0,4,23
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:323:4,323,383,0,0,0,4,22
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:325:0,325,2,0,0,0,5,30
qwen3-4b-cleanv2-s42,qwen3-4b-cleanv2-s42:325:1,325,3,0,0,0,6,30
